,day,number,total
567,1017,2,2824
568,1018,1,2825
569,1019,5,2830
570,1020,1,2831
571,1021,1,2832
572,1022,1,2833
573,1023,1,2834
574,1026,2,2836
575,1027,3,2839
576,1028,1,2840
577,1029,1,2841
578,1034,4,2845
579,1035,2,2847
580,1036,2,2849
581,1041,1,2850
582,1045,1,2851
583,1046,1,2852
584,1047,1,2853
585,1050,1,2854
586,1053,3,2857
587,1054,2,2859
588,1055,1,2860
589,1057,2,2862
590,1061,2,2864
591,1062,3,2867
592,1063,2,2869
593,1064,1,2870
594,1065,1,2871
595,1066,1,2872
596,1070,1,2873
597,1072,1,2874
598,1074,2,2876
599,1075,3,2879
600,1076,1,2880
601,1077,2,2882
602,1080,1,2883
603,1083,2,2885
604,1084,2,2887
605,1085,1,2888
606,1088,1,2889
607,1089,2,2891
608,1091,1,2892
609,1092,3,2895
610,1095,1,2896
611,1096,1,2897
612,1097,2,2899
613,1102,3,2902
614,1105,1,2903
615,1107,1,2904
616,1108,2,2906
617,1109,1,2907
618,1111,1,2908
619,1114,1,2909
620,1117,1,2910
621,1118,1,2911
622,1124,3,2914
623,1126,1,2915
624,1131,3,2918
625,1132,3,2921
626,1134,2,2923
627,1135,1,2924
628,1137,1,2925
629,1141,1,2926
630,1144,1,2927
631,1147,3,2930
632,1149,1,2931
633,1150,1,2932
634,1151,1,2933
635,1153,1,2934
636,1154,1,2935
637,1158,1,2936
638,1160,1,2937
639,1162,1,2938
640,1165,3,2941
641,1166,1,2942
642,1167,1,2943
643,1169,1,2944
644,1172,1,2945
645,1173,2,2947
646,1176,1,2948
647,1178,2,2950
648,1179,1,2951
649,1186,1,2952
650,1188,1,2953
651,1189,1,2954
652,1191,1,2955
653,1192,1,2956
654,1194,1,2957
655,1195,1,2958
656,1203,1,2959
657,1205,1,2960
658,1206,1,2961
659,1210,1,2962
660,1216,2,2964
661,1219,2,2966
662,1221,3,2969
663,1222,1,2970
664,1223,3,2973
665,1224,4,2977
666,1226,2,2979
667,1227,3,2982
668,1228,1,2983
669,1229,1,2984
670,1230,3,2987
671,1232,1,2988
672,1236,3,2991
673,1237,2,2993
674,1238,2,2995
675,1239,1,2996
676,1240,1,2997
677,1242,2,2999
678,1243,3,3002
679,1244,6,3008
680,1245,2,3010
681,1249,1,3011
682,1250,1,3012
683,1251,1,3013
684,1252,3,3016
685,1253,1,3017
686,1254,1,3018
687,1255,1,3019
688,1256,1,3020
689,1257,1,3021
690,1258,1,3022
691,1259,2,3024
692,1260,1,3025
693,1261,2,3027
694,1263,2,3029
695,1265,4,3033
696,1266,1,3034
697,1267,1,3035
698,1270,2,3037
699,1271,3,3040
700,1272,1,3041
701,1273,1,3042
702,1274,1,3043
703,1280,2,3045
704,1281,3,3048
705,1282,1,3049
706,1284,2,3051
707,1285,1,3052
708,1286,3,3055
709,1287,1,3056
710,1288,1,3057
711,1289,1,3058
712,1291,1,3059
713,1292,2,3061
714,1293,1,3062
715,1294,1,3063
716,1297,1,3064
717,1298,1,3065
718,1299,1,3066
719,1300,1,3067
720,1301,2,3069
721,1302,2,3071
722,1304,1,3072
723,1305,3,3075
724,1306,5,3080
725,1307,2,3082
726,1308,1,3083
727,1309,1,3084
728,1312,3,3087
729,1313,1,3088
730,1315,2,3090
731,1320,2,3092
732,1321,1,3093
733,1322,2,3095
734,1323,1,3096
735,1328,1,3097
736,1329,1,3098
737,1332,1,3099
738,1333,1,3100
739,1335,2,3102
740,1336,4,3106
741,1337,1,3107
742,1339,1,3108
743,1340,2,3110
744,1341,1,3111
745,1345,1,3112
746,1346,2,3114
747,1350,1,3115
