,day,number,total
573,821,2,1827
574,824,1,1828
575,825,2,1830
576,826,2,1832
577,828,1,1833
578,830,1,1834
579,831,2,1836
580,833,3,1839
581,834,2,1841
582,838,3,1844
583,839,2,1846
584,840,2,1848
585,841,1,1849
586,842,1,1850
587,844,1,1851
588,847,1,1852
589,848,2,1854
590,852,1,1855
591,853,2,1857
592,854,3,1860
593,855,2,1862
594,856,2,1864
595,860,3,1867
596,861,3,1870
597,864,1,1871
598,866,1,1872
599,868,1,1873
600,870,2,1875
601,872,1,1876
602,873,1,1877
603,874,1,1878
604,877,3,1881
605,879,1,1882
606,881,1,1883
607,884,1,1884
608,885,1,1885
609,887,1,1886
610,894,2,1888
611,897,3,1891
612,898,1,1892
613,900,1,1893
614,901,1,1894
615,902,1,1895
616,903,2,1897
617,904,3,1900
618,905,2,1902
619,906,1,1903
620,908,1,1904
621,909,1,1905
622,911,3,1908
623,912,1,1909
624,914,1,1910
625,915,1,1911
626,916,2,1913
627,917,3,1916
628,919,1,1917
629,921,1,1918
630,923,2,1920
631,924,4,1924
632,927,1,1925
633,929,1,1926
634,932,1,1927
635,936,1,1928
636,939,4,1932
637,940,2,1934
638,943,3,1937
639,944,2,1939
640,945,5,1944
641,946,2,1946
642,949,1,1947
643,950,3,1950
644,951,3,1953
645,952,3,1956
646,953,1,1957
647,954,2,1959
648,957,1,1960
649,958,2,1962
650,959,1,1963
651,960,2,1965
652,961,1,1966
653,964,3,1969
654,965,1,1970
655,968,1,1971
656,973,2,1973
657,974,4,1977
658,975,1,1978
659,978,3,1981
660,979,1,1982
661,980,4,1986
662,981,1,1987
663,982,2,1989
664,987,1,1990
665,990,1,1991
666,993,2,1993
667,994,1,1994
668,996,4,1998
669,1000,1,1999
670,1001,1,2000
671,1002,1,2001
672,1003,2,2003
673,1004,2,2005
674,1005,1,2006
675,1007,4,2010
676,1008,2,2012
677,1010,2,2014
678,1014,2,2016
679,1015,1,2017
680,1017,1,2018
681,1021,1,2019
682,1022,2,2021
683,1023,2,2023
684,1024,2,2025
685,1027,2,2027
686,1028,3,2030
687,1029,1,2031
688,1030,6,2037
689,1032,2,2039
690,1034,1,2040
691,1035,2,2042
692,1036,2,2044
693,1037,3,2047
694,1041,2,2049
695,1042,2,2051
696,1043,1,2052
697,1044,1,2053
698,1045,1,2054
699,1049,2,2056
700,1050,1,2057
701,1052,2,2059
702,1055,3,2062
703,1056,3,2065
704,1057,8,2073
705,1058,4,2077
706,1059,1,2078
707,1061,1,2079
708,1063,2,2081
709,1065,2,2083
710,1066,2,2085
711,1070,1,2086
712,1071,1,2087
713,1072,1,2088
714,1073,1,2089
715,1075,1,2090
716,1077,4,2094
717,1079,1,2095
718,1080,5,2100
719,1084,1,2101
720,1085,1,2102
721,1090,3,2105
722,1091,1,2106
723,1092,1,2107
724,1093,2,2109
725,1094,2,2111
726,1097,2,2113
727,1098,2,2115
728,1099,1,2116
729,1100,3,2119
730,1101,6,2125
731,1103,1,2126
732,1104,2,2128
733,1105,1,2129
734,1106,1,2130
735,1111,4,2134
736,1112,2,2136
737,1113,2,2138
738,1114,2,2140
739,1116,1,2141
740,1118,1,2142
741,1119,2,2144
742,1120,3,2147
743,1121,1,2148
744,1122,2,2150
745,1126,1,2151
746,1127,2,2153
747,1128,2,2155
748,1129,1,2156
749,1132,2,2158
750,1133,3,2161
751,1134,4,2165
752,1135,3,2168
753,1136,3,2171
754,1139,4,2175
755,1140,3,2178
756,1141,1,2179
757,1142,6,2185
758,1143,1,2186
759,1144,2,2188
760,1147,5,2193
761,1148,2,2195
762,1149,4,2199
763,1152,2,2201
764,1153,3,2204
765,1154,3,2207
766,1155,1,2208
767,1156,3,2211
768,1157,1,2212
769,1158,1,2213
770,1159,1,2214
771,1160,2,2216
772,1161,2,2218
773,1163,3,2221
774,1167,2,2223
775,1168,1,2224
776,1169,1,2225
777,1174,1,2226
778,1175,1,2227
779,1176,2,2229
780,1178,2,2231
781,1181,1,2232
782,1182,1,2233
783,1183,2,2235
784,1184,1,2236
785,1185,2,2238
786,1188,2,2240
787,1190,3,2243
788,1191,1,2244
789,1192,3,2247
790,1197,1,2248
791,1198,1,2249
792,1199,2,2251
793,1202,1,2252
794,1203,1,2253
795,1209,1,2254
796,1211,2,2256
797,1213,1,2257
