,day,number,total
720,1218,2,2232
721,1219,2,2234
722,1220,1,2235
723,1221,1,2236
724,1225,4,2240
725,1226,1,2241
726,1227,1,2242
727,1228,3,2245
728,1233,3,2248
729,1234,1,2249
730,1238,2,2251
731,1239,2,2253
732,1240,3,2256
733,1241,1,2257
734,1245,1,2258
735,1246,2,2260
736,1247,4,2264
737,1248,1,2265
738,1249,2,2267
739,1250,1,2268
740,1253,7,2275
741,1254,3,2278
742,1258,1,2279
743,1261,2,2281
744,1269,1,2282
745,1271,1,2283
746,1272,3,2286
747,1273,1,2287
748,1274,3,2290
749,1275,2,2292
750,1276,4,2296
751,1277,1,2297
752,1278,1,2298
753,1280,6,2304
754,1281,1,2305
755,1282,4,2309
756,1283,1,2310
757,1284,2,2312
758,1286,1,2313
759,1287,10,2323
760,1288,3,2326
761,1289,1,2327
762,1290,3,2330
763,1291,1,2331
764,1293,1,2332
765,1294,2,2334
766,1295,2,2336
767,1296,2,2338
768,1297,1,2339
769,1301,1,2340
770,1303,2,2342
771,1304,2,2344
772,1305,3,2347
773,1306,3,2350
774,1307,1,2351
775,1308,4,2355
776,1309,4,2359
777,1310,2,2361
778,1311,1,2362
779,1312,2,2364
780,1316,2,2366
781,1318,1,2367
782,1324,2,2369
783,1325,3,2372
784,1326,3,2375
785,1328,1,2376
786,1329,1,2377
787,1331,1,2378
788,1332,5,2383
789,1333,6,2389
790,1336,1,2390
791,1337,1,2391
792,1338,1,2392
793,1340,1,2393
794,1342,2,2395
795,1344,1,2396
796,1345,1,2397
797,1346,2,2399
798,1349,1,2400
799,1351,2,2402
800,1352,2,2404
801,1353,1,2405
802,1358,2,2407
803,1359,3,2410
804,1360,1,2411
805,1366,1,2412
806,1367,2,2414
807,1368,1,2415
808,1371,1,2416
809,1372,2,2418
810,1373,2,2420
811,1374,4,2424
812,1375,3,2427
813,1378,2,2429
814,1379,2,2431
815,1380,1,2432
816,1381,2,2434
817,1382,3,2437
818,1385,1,2438
819,1386,1,2439
820,1388,1,2440
821,1389,4,2444
822,1390,1,2445
823,1391,1,2446
824,1392,2,2448
825,1393,26,2474
826,1396,2,2476
827,1397,1,2477
828,1401,1,2478
829,1402,1,2479
830,1403,1,2480
831,1406,2,2482
832,1407,1,2483
833,1409,1,2484
834,1410,1,2485
835,1414,4,2489
836,1415,2,2491
837,1420,4,2495
